,gas price (pence per therm),electricity price (GBP per MWh)
1,43.07,53.71
2,43.06,47.69
3,43.78,54.5
4,43.50,58.77
5,43.74,50.00
6,44.76,50.20
7,45.78,51.40
8,46.01,50.22
9,46.08,54.16
10,47.66,54.21
11,47.71,49.78
12,46.36,52.29
13,46.38,49.16
14,46.21,54.44
15,45.97,52.85
16,46.10,49.37
17,46.85,54.50
18,45.05,56.60
19,44.19,50.74
20,43.41,44.76
21,42.19,44.10
22,39.98,42.64
23,39.80,36.88
24,40.30,45.55
25,39.84,43.77
26,39.14,45.67
27,39.16,45.66
28,38.97,42.83
29,37.82,40.99
30,37.66,42.59
